age,agechild,citistat,female,married,ownchild,wbhaom,gradeatn,cow1,ftptstat,statefips,hoursut,faminc,mind16,mocc10
41,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Foreign born, not a US citizen",Female,Not married,0,Native American,Less than 1st grade,"Private, for profit","PT for economic reasons, usually FT",KS,193,"$5,000 - $7,499","Manufacturing, durable goods",Sales
29,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Native, born abroad with American parent(s)",Female,Not married,10,White,Associate degree-occupational/vocational,"Self-employed, incorporated","Not at work, usually FT",WI,90,"$20,000 - $24,999",Transportation,Personal care and personal services
31,Own children 6-13 and 14-17 years of age (none 0-5),"Foreign born, naturalized US citizen",Female,Not married,9,Asian,"HS graduate, GED",Government - State,"Not at work, usually part-time",IA,11,"$5,000 - $7,499","Agriculture, mining, forestry and fisheries",Services
80,All own children 3-5 years of age,"Native, born in US",Male,Married,6,Black,11th grade,"Self-employed, incorporated","PT hrs, usually PT for economic reasons",NC,61,"$20,000 - $24,999",Construction,"Precision production, craft and repair"
67,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Native, born abroad with American parent(s)",Female,Married,3,White,9th grade,"Private, for profit","PT hrs, usually PT for economic reasons",RI,191,"$50,000 - $74,999",Communications and utilities,Technicians
39,Own children 0-2 and 14-17 years of age (none 3-13),"Foreign born, naturalized US citizen",Female,Not married,2,White,Doctorate,Without pay,"PT for non-economic reasons, usually FT",MI,97,"$50,000 - $74,999","Agriculture, mining, forestry and fisheries","Operators, fabricators and laborers"
77,All own children 3-5 years of age,"Native, born in US",Male,Not married,1,Hispanic,Some college but no degree,Government - State,"PT for economic reasons, usually FT",NM,116,"$25,000 - $29,999",Construction,"Operators, fabricators and laborers"
61,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, naturalized US citizen",Male,Married,9,Asian,9th grade,"Private, for profit","FT hours, usually PT for economic reasons",CO,128,"$7,500 - $9,999","Manufacturing, durable goods",Office and admin
34,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Foreign born, not a US citizen",Female,Not married,1,Native American,7th-8th grade,Government - Local,"PT hrs, usually PT for non-economic reasons",UT,53,"$7,500 - $9,999","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Sales
67,All own children 3-5 years of age,"Native, born abroad with American parent(s)",Female,Married,2,Asian,"HS graduate, GED",Government - Local,"PT hrs, usually PT for non-economic reasons",SD,14,"$5,000 - $7,499",Public administration,Managers and professionals
53,Own children 0-2 and 14-17 years of age (none 3-13),"Native, born in US",Male,Not married,1,Black,Associate degree-academic program,Without pay,"FT hours, usually PT for non-economic",RI,105,"$150,000+","Manufacturing, nondurable goods",Services
26,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Native, born in Puerto Rico or other US island areas",Male,Married,6,White,Doctorate,"Private, for profit","PT hrs, usually PT for economic reasons",MT,160,"$30,000 - $34,999",Wholesale trade,"Operators, fabricators and laborers"
43,"Own children 0-2, 6-13, and 14-17 years of age (none 3-5)","Foreign born, naturalized US citizen",Male,Not married,11,Asian,11th grade,"Private, nonprofit",Unemployed PT,CO,46,"$100,000 - $149,999","Manufacturing, durable goods",Sales
64,Own children 0-2 and 3-5 years of age (none 6-17),"Native, born in Puerto Rico or other US island areas",Female,Married,0,White,Associate degree-occupational/vocational,"Self-employed, incorporated","PT for economic reasons, usually FT",ID,66,"$30,000 - $34,999",Wholesale trade,"Operators, fabricators and laborers"
33,All own children 14-17 years of age,"Native, born in Puerto Rico or other US island areas",Male,Married,8,Black,Professional school,Government - State,"PT for non-economic reasons, usually FT",DE,180,"$150,000+",Public administration,Personal care and personal services
58,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born in US",Female,Not married,0,Asian,1st-4th grade,Without pay,"PT hrs, usually PT for non-economic reasons",UT,188,"$30,000 - $34,999",Public administration,Agriculture
57,All own children 3-5 years of age,"Native, born in Puerto Rico or other US island areas",Male,Not married,3,Black,Associate degree-occupational/vocational,"Self-employed, incorporated",Not in labor force,MT,132,"$50,000 - $74,999",Construction,Sales
58,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Native, born abroad with American parent(s)",Male,Not married,3,Asian,1st-4th grade,"Private, nonprofit",Unemployed PT,VT,134,"Less than $5,000","Manufacturing, durable goods","Operators, fabricators and laborers"
34,"Own children 0-2, 6-13, and 14-17 years of age (none 3-5)","Foreign born, naturalized US citizen",Female,Married,0,Multiple races,Doctorate,"Self-employed, unincorporated","PT for economic reasons, usually FT",UT,10,"$7,500 - $9,999",Retail trade,Managers and professionals
74,All own children 3-5 years of age,"Foreign born, not a US citizen",Female,Married,5,White,9th grade,"Private, nonprofit",Unemployed FT,MD,113,"$75,000 - $99,999","Personal services, including private household",Services
17,All own children 6-13 years of age,"Native, born abroad with American parent(s)",Female,Married,0,Native American,Doctorate,"Private, for profit","PT for economic reasons, usually FT",DE,26,"$10,000 - $12,499",Public administration,Protective service
42,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Native, born in US",Female,Not married,11,Native American,Bachelor's degree,"Private, for profit",Unemployed PT,NH,102,"$10,000 - $12,499","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Services
80,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Native, born in US",Female,Not married,8,Black,Master's degree,"Private, for profit","FT hours (35+), usually FT",NC,117,"$5,000 - $7,499","Manufacturing, durable goods",Managers and professionals
46,Own children 0-2 and 14-17 years of age (none 3-13),"Native, born in US",Male,Not married,7,Hispanic,"HS graduate, GED","Private, nonprofit",Unemployed PT,NC,132,"$35,000 - $39,999","Personal services, including private household","Precision production, craft and repair"
39,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Foreign born, naturalized US citizen",Male,Not married,5,Hispanic,11th grade,Government - Federal,"PT for non-economic reasons, usually FT",NJ,124,"$150,000+",Hospital,Protective service
78,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born in Puerto Rico or other US island areas",Male,Married,6,Black,Less than 1st grade,"Self-employed, incorporated",Not in labor force,AZ,160,"$12,500 - $14,999","Personal services, including private household","Precision production, craft and repair"
21,No own children under 18 years of age,"Foreign born, not a US citizen",Male,Married,4,Black,Master's degree,"Private, nonprofit","PT for economic reasons, usually FT",ND,20,"$75,000 - $99,999",Hospital,Sales
57,All own children 14-17 years of age,"Foreign born, not a US citizen",Male,Not married,10,Hispanic,11th grade,Government - Local,"Not at work, usually FT",PA,121,"Less than $5,000","Manufacturing, durable goods",Managers and professionals
61,All own children 3-5 years of age,"Foreign born, not a US citizen",Male,Married,13,Black,11th grade,Government - Federal,"PT for non-economic reasons, usually FT",VA,172,"$40,000 - $49,999","Personal services, including private household",Personal care and personal services
43,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, naturalized US citizen",Male,Married,4,Hispanic,9th grade,Government - State,Unemployed PT,TX,31,"$150,000+","Medical, except hospital",Sales
40,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Foreign born, not a US citizen",Female,Married,1,Multiple races,7th-8th grade,"Private, for profit","FT hours, usually PT for economic reasons",NY,141,"$10,000 - $12,499","Agriculture, mining, forestry and fisheries",Sales
79,All own children 3-5 years of age,"Foreign born, not a US citizen",Male,Married,6,Black,Professional school,"Self-employed, incorporated",Unemployed PT,RI,21,"$75,000 - $99,999",Communications and utilities,"Precision production, craft and repair"
44,All own children 14-17 years of age,"Foreign born, naturalized US citizen",Female,Married,9,White,Bachelor's degree,Government - State,"Not at work, usually part-time",NC,50,"$50,000 - $74,999",Construction,Technicians
56,All own children 6-13 years of age,"Foreign born, not a US citizen",Female,Married,5,Native American,Doctorate,Government - Local,"PT hrs, usually PT for economic reasons",PA,167,"$10,000 - $12,499",Construction,Services
33,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, not a US citizen",Male,Not married,8,Hispanic,Associate degree-academic program,"Private, nonprofit",Not in labor force,AR,87,"$35,000 - $39,999",Educational,Office and admin
34,All own children 14-17 years of age,"Foreign born, naturalized US citizen",Male,Married,12,Native American,Associate degree-occupational/vocational,Government - Federal,"Not at work, usually part-time",NV,13,"$50,000 - $74,999",Communications and utilities,Agriculture
28,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Native, born in US",Male,Married,4,Native American,11th grade,Government - State,"Not at work, usually FT",DE,45,"$50,000 - $74,999","Manufacturing, nondurable goods",Services
77,No own children under 18 years of age,"Foreign born, not a US citizen",Male,Married,3,Black,7th-8th grade,Government - Local,"PT hrs, usually PT for non-economic reasons",CT,191,"$10,000 - $12,499",Social Services,Sales
64,All own children 6-13 years of age,"Native, born in Puerto Rico or other US island areas",Male,Married,0,Hispanic,11th grade,Without pay,"FT hours, usually PT for economic reasons",OK,121,"$75,000 - $99,999","Manufacturing, durable goods",Protective service
58,No own children under 18 years of age,"Native, born in US",Male,Not married,0,White,Associate degree-academic program,"Self-employed, unincorporated","PT hrs, usually PT for economic reasons",ME,77,"$15,000 - $19,999",Hospital,Sales
32,All own children 14-17 years of age,"Native, born in US",Female,Married,8,Native American,Master's degree,"Private, for profit","PT hrs, usually PT for non-economic reasons",WV,77,"$5,000 - $7,499",Transportation,Technicians
26,Own children 0-2 and 14-17 years of age (none 3-13),"Native, born in Puerto Rico or other US island areas",Female,Married,8,Hispanic,Less than 1st grade,"Private, for profit","FT hours, usually PT for economic reasons",FL,198,"$50,000 - $74,999",Public administration,Services
48,All own children 14-17 years of age,"Foreign born, not a US citizen",Male,Married,5,White,Some college but no degree,"Self-employed, unincorporated","PT hrs, usually PT for economic reasons",NV,174,"$5,000 - $7,499","Personal services, including private household",Office and admin
59,All own children 6-13 years of age,"Foreign born, not a US citizen",Male,Married,1,Hispanic,Some college but no degree,Government - Local,"FT hours, usually PT for economic reasons",SD,130,"$7,500 - $9,999",Transportation,"Operators, fabricators and laborers"
25,Own children 0-2 and 3-5 years of age (none 6-17),"Native, born in US",Female,Married,4,Black,7th-8th grade,Without pay,"PT for economic reasons, usually FT",FL,7,"Less than $5,000",Wholesale trade,Services
80,No own children under 18 years of age,"Foreign born, not a US citizen",Female,Not married,1,Hispanic,Less than 1st grade,Without pay,"FT hours, usually PT for non-economic",UT,47,"$5,000 - $7,499",Construction,"Precision production, craft and repair"
48,All own children 3-5 years of age,"Foreign born, naturalized US citizen",Female,Married,0,Hispanic,12th grade-no diploma,"Private, nonprofit","FT hours, usually PT for non-economic",NJ,121,"Less than $5,000",Entertainment and recreation,Managers and professionals
39,All own children 3-5 years of age,"Native, born abroad with American parent(s)",Male,Married,9,White,Bachelor's degree,"Self-employed, incorporated",Unemployed FT,KY,170,"$12,500 - $14,999",Public administration,Agriculture
35,No own children under 18 years of age,"Foreign born, not a US citizen",Male,Married,0,Hispanic,5th-6th grade,Government - Local,"PT hrs, usually PT for economic reasons",OK,142,"$7,500 - $9,999","Medical, except hospital","Precision production, craft and repair"
69,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Native, born in Puerto Rico or other US island areas",Female,Not married,12,White,Some college but no degree,"Self-employed, unincorporated","PT for non-economic reasons, usually FT",IL,130,"$150,000+","Manufacturing, durable goods",Personal care and personal services
57,All own children 6-13 years of age,"Native, born abroad with American parent(s)",Male,Married,4,Hispanic,Doctorate,Government - Local,"FT hours, usually PT for non-economic",OK,177,"$150,000+","Medical, except hospital",Sales
43,Own children from all age groups,"Native, born in US",Female,Not married,4,Native American,1st-4th grade,"Private, nonprofit","FT hours, usually PT for economic reasons",KS,82,"$40,000 - $49,999",Educational,Personal care and personal services
28,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Native, born in US",Male,Married,9,Black,Bachelor's degree,"Private, for profit",Unemployed FT,DE,147,"$12,500 - $14,999","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Services
61,All own children 14-17 years of age,"Foreign born, naturalized US citizen",Female,Not married,9,Multiple races,Less than 1st grade,"Private, nonprofit",Unemployed PT,CA,130,"$7,500 - $9,999","Personal services, including private household","Precision production, craft and repair"
59,All own children 6-13 years of age,"Native, born in US",Female,Married,8,Multiple races,Master's degree,"Self-employed, incorporated","FT hours, usually PT for economic reasons",MT,185,"$12,500 - $14,999",Educational,Sales
18,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Native, born in US",Male,Not married,9,Black,11th grade,"Self-employed, incorporated","PT for economic reasons, usually FT",VT,170,"$40,000 - $49,999",Public administration,Sales
48,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, naturalized US citizen",Female,Not married,13,Multiple races,Professional school,"Private, nonprofit",Not in labor force,CT,34,"$150,000+","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Services
73,All own children 6-13 years of age,"Native, born in Puerto Rico or other US island areas",Male,Not married,11,Black,11th grade,"Self-employed, incorporated","Not at work, usually part-time",CT,191,"$35,000 - $39,999",Hospital,Office and admin
71,All own children 6-13 years of age,"Native, born in Puerto Rico or other US island areas",Female,Not married,12,Asian,Bachelor's degree,"Private, for profit","Not at work, usually FT",WA,63,"$25,000 - $29,999",Educational,Services
69,All own children 14-17 years of age,"Foreign born, naturalized US citizen",Male,Not married,0,Asian,Doctorate,Government - State,"Not at work, usually FT",OH,23,"$50,000 - $74,999","Agriculture, mining, forestry and fisheries","Precision production, craft and repair"
67,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Foreign born, naturalized US citizen",Male,Married,3,Native American,Less than 1st grade,"Private, nonprofit",Unemployed PT,HI,14,"$10,000 - $12,499","Agriculture, mining, forestry and fisheries",Technicians
28,"Own children 0-2, 6-13, and 14-17 years of age (none 3-5)","Native, born abroad with American parent(s)",Female,Not married,2,White,Master's degree,Government - Local,"Not at work, usually FT",LA,182,"$12,500 - $14,999",Transportation,"Precision production, craft and repair"
59,Own children from all age groups,"Foreign born, not a US citizen",Female,Not married,6,Hispanic,Some college but no degree,Government - Local,"PT hrs, usually PT for economic reasons",WV,19,"$50,000 - $74,999","Agriculture, mining, forestry and fisheries",Technicians
79,All own children 3-5 years of age,"Foreign born, not a US citizen",Male,Married,0,Multiple races,Doctorate,"Self-employed, unincorporated","FT hours, usually PT for economic reasons",KY,11,"$75,000 - $99,999",Public administration,"Precision production, craft and repair"
59,Own children 0-2 and 14-17 years of age (none 3-13),"Native, born in Puerto Rico or other US island areas",Female,Not married,13,White,1st-4th grade,"Self-employed, incorporated","FT hours, usually PT for non-economic",RI,27,"$30,000 - $34,999","Agriculture, mining, forestry and fisheries",Technicians
77,"Own children 3-5, 6-13, and 14-17 years of age (none 0-2)","Native, born in Puerto Rico or other US island areas",Male,Married,3,Native American,Professional school,Government - State,"Not at work, usually part-time",WA,115,"$100,000 - $149,999","Manufacturing, nondurable goods",Technicians
41,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Foreign born, naturalized US citizen",Female,Married,0,White,12th grade-no diploma,Government - Local,Unemployed FT,AL,2,"$12,500 - $14,999","Manufacturing, durable goods",Personal care and personal services
54,Own children 6-13 and 14-17 years of age (none 0-5),"Native, born abroad with American parent(s)",Male,Not married,0,Native American,Doctorate,"Self-employed, incorporated","PT for non-economic reasons, usually FT",CO,45,"$5,000 - $7,499",Hospital,Agriculture
21,Own children from all age groups,"Native, born in Puerto Rico or other US island areas",Female,Not married,2,White,10th grade,Without pay,"Not at work, usually FT",MS,198,"$50,000 - $74,999","Medical, except hospital","Operators, fabricators and laborers"
69,All own children 6-13 years of age,"Native, born in US",Female,Married,0,White,Master's degree,"Private, nonprofit","PT hrs, usually PT for economic reasons",LA,196,"$10,000 - $12,499","Personal services, including private household",Managers and professionals
24,Own children from all age groups,"Foreign born, not a US citizen",Female,Not married,2,Multiple races,5th-6th grade,Government - State,"PT for non-economic reasons, usually FT",NH,102,"Less than $5,000","Personal services, including private household","Precision production, craft and repair"
50,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Native, born abroad with American parent(s)",Female,Not married,2,White,11th grade,Government - Local,"PT hrs, usually PT for economic reasons",LA,56,"Less than $5,000",Communications and utilities,"Operators, fabricators and laborers"
70,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Native, born in US",Female,Not married,12,White,Bachelor's degree,Government - State,"PT for non-economic reasons, usually FT",WI,125,"$30,000 - $34,999",Educational,Protective service
20,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Native, born abroad with American parent(s)",Male,Not married,3,White,Master's degree,"Private, nonprofit","Not at work, usually FT",HI,121,"$12,500 - $14,999",Transportation,Technicians
21,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Foreign born, naturalized US citizen",Male,Married,9,Multiple races,"HS graduate, GED","Self-employed, incorporated",Unemployed PT,WY,185,"$12,500 - $14,999",Social Services,Agriculture
65,All own children 0-2 years of age,"Native, born in US",Female,Not married,1,White,7th-8th grade,Government - Local,Unemployed FT,OK,92,"$5,000 - $7,499",Hospital,Managers and professionals
67,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Foreign born, not a US citizen",Female,Married,0,White,1st-4th grade,"Private, nonprofit","FT hours, usually PT for non-economic",ND,50,"$100,000 - $149,999",Wholesale trade,Managers and professionals
47,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, naturalized US citizen",Female,Married,0,Asian,Less than 1st grade,Government - State,"FT hours (35+), usually FT",WA,152,"Less than $5,000",Hospital,Managers and professionals
42,All own children 3-5 years of age,"Foreign born, naturalized US citizen",Male,Married,4,Multiple races,9th grade,Government - Federal,Unemployed PT,CO,171,"$12,500 - $14,999",Wholesale trade,Personal care and personal services
25,All own children 3-5 years of age,"Native, born in US",Male,Married,4,White,Professional school,"Self-employed, unincorporated",Not in labor force,OR,59,"$15,000 - $19,999",Communications and utilities,Agriculture
54,All own children 14-17 years of age,"Foreign born, not a US citizen",Male,Not married,11,Native American,Less than 1st grade,"Private, for profit","PT hrs, usually PT for non-economic reasons",DC,126,"$100,000 - $149,999",Public administration,Services
21,All own children 3-5 years of age,"Foreign born, naturalized US citizen",Female,Married,6,Multiple races,7th-8th grade,"Private, nonprofit","FT hours, usually PT for non-economic",ND,75,"$12,500 - $14,999",Transportation,Managers and professionals
33,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Foreign born, naturalized US citizen",Male,Married,10,Hispanic,11th grade,"Self-employed, incorporated",Unemployed PT,AR,124,"$35,000 - $39,999",Wholesale trade,Sales
79,All own children 3-5 years of age,"Native, born abroad with American parent(s)",Female,Not married,11,Multiple races,"HS graduate, GED","Self-employed, unincorporated",Unemployed PT,AZ,124,"$75,000 - $99,999",Construction,"Precision production, craft and repair"
58,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, not a US citizen",Male,Not married,0,Asian,"HS graduate, GED","Private, nonprofit","FT hours (35+), usually FT",IL,167,"Less than $5,000",Wholesale trade,Sales
25,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Native, born in US",Male,Not married,2,Asian,Associate degree-academic program,Without pay,"PT hrs, usually PT for economic reasons",AL,141,"Less than $5,000",Public administration,Protective service
34,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Foreign born, naturalized US citizen",Male,Married,0,Native American,5th-6th grade,"Self-employed, incorporated","FT hours (35+), usually FT",KY,154,"$35,000 - $39,999",Public administration,Agriculture
36,All own children 3-5 years of age,"Native, born in Puerto Rico or other US island areas",Female,Not married,4,Black,7th-8th grade,Government - State,"FT hours, usually PT for non-economic",NE,184,"Less than $5,000","Manufacturing, durable goods",Agriculture
49,"Own children 0-2, 6-13, and 14-17 years of age (none 3-5)","Native, born in US",Male,Not married,10,Black,Master's degree,"Private, nonprofit","FT hours, usually PT for economic reasons",AK,95,"$7,500 - $9,999",Communications and utilities,Personal care and personal services
75,All own children 14-17 years of age,"Foreign born, not a US citizen",Female,Not married,13,Asian,11th grade,"Private, nonprofit","PT for non-economic reasons, usually FT",MI,188,"$150,000+","Agriculture, mining, forestry and fisheries",Sales
47,All own children 0-2 years of age,"Foreign born, naturalized US citizen",Female,Married,6,White,Associate degree-occupational/vocational,Without pay,"FT hours (35+), usually FT",WV,20,"$40,000 - $49,999","Medical, except hospital",Personal care and personal services
54,All own children 3-5 years of age,"Native, born abroad with American parent(s)",Female,Married,8,Multiple races,10th grade,Government - Federal,"PT for non-economic reasons, usually FT",PA,149,"$5,000 - $7,499",Hospital,Managers and professionals
80,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Native, born in US",Female,Married,11,Hispanic,1st-4th grade,Government - State,"PT hrs, usually PT for economic reasons",WA,71,"$12,500 - $14,999",Hospital,Managers and professionals
56,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Foreign born, not a US citizen",Male,Married,1,Asian,Some college but no degree,"Self-employed, unincorporated","Not at work, usually part-time",SD,20,"$15,000 - $19,999",Retail trade,Office and admin
41,All own children 3-5 years of age,"Native, born in US",Male,Married,0,Asian,Associate degree-occupational/vocational,Government - Federal,"PT hrs, usually PT for non-economic reasons",NJ,109,"$5,000 - $7,499",Entertainment and recreation,Protective service
68,Own children 6-13 and 14-17 years of age (none 0-5),"Native, born abroad with American parent(s)",Female,Not married,13,Native American,1st-4th grade,"Self-employed, incorporated","PT hrs, usually PT for non-economic reasons",MS,34,"$20,000 - $24,999",Transportation,Technicians
69,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, not a US citizen",Male,Married,8,White,Master's degree,"Private, nonprofit","FT hours, usually PT for economic reasons",DE,194,"$75,000 - $99,999","Medical, except hospital",Sales
59,All own children 6-13 years of age,"Foreign born, not a US citizen",Female,Married,7,Asian,Doctorate,Government - Local,"PT for non-economic reasons, usually FT",SD,173,"$40,000 - $49,999","Medical, except hospital",Services
65,Own children from all age groups,"Native, born in US",Female,Not married,2,Native American,12th grade-no diploma,"Private, for profit","PT for economic reasons, usually FT",WV,93,"$75,000 - $99,999",Educational,Office and admin
54,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Native, born in US",Male,Married,1,Hispanic,7th-8th grade,Government - Local,Unemployed FT,DE,71,"$75,000 - $99,999",Wholesale trade,Managers and professionals
61,All own children 0-2 years of age,"Native, born in Puerto Rico or other US island areas",Male,Married,7,Hispanic,Bachelor's degree,Government - Local,Unemployed FT,SC,42,"$35,000 - $39,999",Public administration,"Precision production, craft and repair"
42,All own children 14-17 years of age,"Foreign born, not a US citizen",Male,Married,7,Hispanic,Some college but no degree,"Private, nonprofit",Not in labor force,WV,82,"$5,000 - $7,499",Retail trade,Personal care and personal services
64,"Own children 0-2, 6-13, and 14-17 years of age (none 3-5)","Foreign born, naturalized US citizen",Male,Not married,4,White,9th grade,"Self-employed, unincorporated","Not at work, usually FT",WI,195,"$150,000+","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Technicians
42,No own children under 18 years of age,"Foreign born, not a US citizen",Female,Married,7,White,Doctorate,"Self-employed, incorporated",Not in labor force,WV,20,"$20,000 - $24,999","Personal services, including private household",Technicians
50,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Foreign born, not a US citizen",Male,Married,10,Asian,Associate degree-occupational/vocational,"Private, nonprofit","PT for non-economic reasons, usually FT",ID,47,"$20,000 - $24,999",Construction,Sales
39,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Native, born in US",Female,Not married,11,Asian,"HS graduate, GED","Private, nonprofit","FT hours (35+), usually FT",TN,27,"$15,000 - $19,999","Medical, except hospital","Operators, fabricators and laborers"
80,Own children 0-2 and 3-5 years of age (none 6-17),"Native, born in Puerto Rico or other US island areas",Female,Married,12,Black,"HS graduate, GED","Self-employed, incorporated","PT for non-economic reasons, usually FT",TX,22,"$30,000 - $34,999",Construction,Services
63,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Foreign born, not a US citizen",Male,Not married,13,Hispanic,7th-8th grade,Government - Local,"PT for economic reasons, usually FT",MA,117,"$100,000 - $149,999",Communications and utilities,Managers and professionals
73,"Own children 0-2, 3-5, and 6-13 years of age (none 14-17)","Foreign born, not a US citizen",Male,Married,1,Black,7th-8th grade,"Self-employed, unincorporated",Not in labor force,IL,64,"$35,000 - $39,999","Personal services, including private household",Services
22,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Foreign born, not a US citizen",Female,Married,1,Hispanic,7th-8th grade,"Private, for profit",Unemployed FT,LA,154,"$20,000 - $24,999","Manufacturing, durable goods",Services
17,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Native, born in US",Female,Not married,1,Multiple races,Associate degree-occupational/vocational,"Private, nonprofit","PT hrs, usually PT for economic reasons",WI,14,"$12,500 - $14,999",Entertainment and recreation,"Operators, fabricators and laborers"
35,Own children 3-5 and 6-13 years of age (none 0-2 or 14-17),"Foreign born, naturalized US citizen",Male,Not married,10,Asian,Doctorate,Government - Local,"Not at work, usually part-time",ME,74,"$7,500 - $9,999",Public administration,Services
56,All own children 3-5 years of age,"Foreign born, not a US citizen",Female,Not married,13,Multiple races,10th grade,"Private, for profit","FT hours, usually PT for non-economic",IA,157,"$75,000 - $99,999",Retail trade,"Operators, fabricators and laborers"
39,All own children 6-13 years of age,"Native, born in Puerto Rico or other US island areas",Male,Married,6,Hispanic,11th grade,Without pay,"PT for non-economic reasons, usually FT",MT,46,"$30,000 - $34,999",Wholesale trade,"Operators, fabricators and laborers"
80,All own children 14-17 years of age,"Foreign born, not a US citizen",Male,Married,8,Hispanic,"HS graduate, GED","Self-employed, incorporated",Unemployed FT,NJ,100,"$5,000 - $7,499","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Office and admin
59,Own children 3-5 and 14-17 years of age (none 0-2 or 6-13),"Native, born in US",Female,Married,4,Native American,Bachelor's degree,Without pay,Unemployed FT,WV,150,"$150,000+","Medical, except hospital",Office and admin
74,No own children under 18 years of age,"Native, born in Puerto Rico or other US island areas",Male,Married,0,Black,Master's degree,Government - Local,"FT hours (35+), usually FT",CO,125,"$15,000 - $19,999",Construction,"Precision production, craft and repair"
41,Own children 0-2 and 14-17 years of age (none 3-13),"Native, born in US",Male,Not married,2,Multiple races,1st-4th grade,"Private, nonprofit","FT hours, usually PT for non-economic",MS,42,"$25,000 - $29,999","Finance, insurance and real estate. Business, auto, repair, and other professional services.",Technicians
80,Own children 0-2 and 6-13 years of age (none 3-5 or 14-17),"Native, born in US",Male,Married,11,Hispanic,11th grade,"Private, nonprofit",Not in labor force,DC,141,"$20,000 - $24,999",Wholesale trade,Protective service
80,Own children 0-2 and 14-17 years of age (none 3-13),"Foreign born, not a US citizen",Female,Married,1,Native American,Less than 1st grade,Government - State,"FT hours, usually PT for economic reasons",FL,29,"$15,000 - $19,999","Agriculture, mining, forestry and fisheries",Technicians
34,All own children 3-5 years of age,"Native, born in US",Female,Not married,0,Asian,"HS graduate, GED",Without pay,"PT hrs, usually PT for non-economic reasons",NC,83,"$5,000 - $7,499",Retail trade,Protective service
53,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Foreign born, not a US citizen",Male,Married,5,Multiple races,Professional school,"Private, for profit","PT for non-economic reasons, usually FT",MA,133,"$100,000 - $149,999",Communications and utilities,Services
54,Own children 0-2 and 3-5 years of age (none 6-17),"Foreign born, naturalized US citizen",Female,Not married,7,Native American,9th grade,"Self-employed, incorporated","Not at work, usually part-time",MI,130,"$25,000 - $29,999","Medical, except hospital","Operators, fabricators and laborers"
72,All own children 3-5 years of age,"Foreign born, naturalized US citizen",Male,Married,3,Hispanic,Bachelor's degree,"Private, for profit","PT for non-economic reasons, usually FT",TN,116,"$75,000 - $99,999",Educational,"Precision production, craft and repair"
70,"Own children 0-2, 3-5, and 14-17 years of age (none 6-13)","Native, born abroad with American parent(s)",Female,Married,13,Black,7th-8th grade,Government - Local,Unemployed FT,HI,176,"$75,000 - $99,999","Personal services, including private household",Agriculture
